track_id,tempo,rms_harmonic,rms_percussive,spectral_centroid,spectral_rolloff,zero_crossings,chroma_stft_1,chroma_stft_2,chroma_stft_3,chroma_stft_4,chroma_stft_5,chroma_stft_6,chroma_stft_7,chroma_stft_8,chroma_stft_9,chroma_stft_10,chroma_stft_11,chroma_stft_12,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,KMeans_umap_Labels
2,161.4990234375,0.060800742,0.10242912,2975.2795037667343,6088.350558705703,107473,0.7470862,0.46562824,0.37654793,0.3426641,0.27366048,0.23398803,0.2729451,0.41995493,0.3725422,0.358429,0.37844425,0.5157889,-70.15165,69.024666,-14.526688,16.015945,-7.1172547,13.697446,-5.7261004,9.107853,-9.800666,4.6699038,-13.8434515,6.8462334,-6.376837,11.474691,-6.496868,4.35164,-11.482881,0.85894626,-5.743586,2.784478,16
5,99.38401442307692,0.07955334,0.08541733,2361.216888635806,5326.953068354844,65573,0.40881258,0.5783515,0.39788106,0.33910877,0.321835,0.32905874,0.37333208,0.39834583,0.4884637,0.4918633,0.50771946,0.45749438,-108.92436,90.47684,8.923802,27.356474,-4.1641335,15.992366,-8.658681,20.449034,-9.263302,2.8842325,-4.723806,11.691971,0.69452393,9.956776,-2.3534427,3.412343,-6.5213237,1.7167833,-3.7977881,3.4436574,19
10,112.34714673913044,0.13562442,0.0810359,2319.325849355042,4256.393704462384,98089,0.2836892,0.6494239,0.33058184,0.34684432,0.23112103,0.3234304,0.70074886,0.3389895,0.38106036,0.30898228,0.56939065,0.30727267,-19.837091,97.88716,-52.087177,35.81951,-7.975301,5.586068,-5.638695,5.962729,-8.540472,3.7034125,-12.372822,5.2978673,-9.403314,5.5708585,-7.8969593,1.8316556,-5.827612,5.5777507,-3.4693594,6.2024336,1
140,107.666015625,0.06083793,0.015484743,1680.622214529758,3679.3422235064872,28713,0.24319656,0.27131376,0.36505985,0.34502655,0.3789212,0.4335124,0.27365065,0.2342252,0.20099731,0.2753429,0.2950705,0.23108092,-280.37418,103.943405,33.92839,38.013676,23.66924,14.098092,7.782107,7.8697457,-1.5905216,9.252684,-6.9521656,0.50738865,-8.884753,4.870484,-10.18678,3.072841,-6.97995,0.9148128,-7.929453,0.33183393,10
141,117.45383522727272,0.08962583,0.023680083,1611.7486891861026,3238.0533349874127,40485,0.16414846,0.1532745,0.24292058,0.18568857,0.23336118,0.37384176,0.24302031,0.22542326,0.21413782,0.3855308,0.51360863,0.2144171,-209.97003,118.39479,-3.5837438,27.839834,7.873686,-2.375836,5.491506,-3.3715775,-1.7444861,3.891664,-4.950849,-1.8303268,-6.3463187,4.6178923,-3.5176198,6.454854,-1.4495629,4.338287,-9.859125,0.00095110363,18
148,117.45383522727272,0.40035677,0.14012246,1687.8483115452764,3504.816529549525,58287,0.23588742,0.23220038,0.22031832,0.3451436,0.25479108,0.25212017,0.48832852,0.4473598,0.4276486,0.50544304,0.3320029,0.24346957,5.707001,129.6558,-31.58396,34.512817,9.102555,15.656395,-5.0210147,17.381224,-3.7564075,11.459226,-3.0631785,9.598869,-2.596637,13.181983,3.8049998,8.441983,-3.235619,10.332355,6.404596,6.5921645,19
182,143.5546875,0.21207672,0.090550914,1874.346535920348,3946.3216901102087,66573,0.30780092,0.2947713,0.35759115,0.47839105,0.30981296,0.46446145,0.39200568,0.45234892,0.32143226,0.30015144,0.47711077,0.27650428,-26.550814,137.21863,-61.194622,43.991413,-37.850002,32.996826,-4.955339,14.346756,11.423717,7.84486,11.688082,12.846215,2.799268,11.894901,-3.1866374,2.1019785,-0.36099386,-1.6566306,-0.96270263,-1.4313736,17
190,103.359375,0.11555619,0.0320302,1874.1941759087267,3667.73899724478,58261,0.22903094,0.15159723,0.23212014,0.19936296,0.38591513,0.2809461,0.2550492,0.26329124,0.2612582,0.30853134,0.15379791,0.2180198,-141.37262,99.21576,-25.47765,28.1459,-10.030551,-1.2490671,-24.274965,-4.5817223,-22.280264,-3.7108445,-18.299725,-3.0734515,-10.326733,-4.5678706,-9.646105,-7.315127,-10.5329075,-0.7330767,-7.4854703,-6.927468,14
193,95.703125,0.07523756,0.014364593,1570.2188785461606,3184.2703656020044,50923,0.29853946,0.41656706,0.3874494,0.47011754,0.42866805,0.3259974,0.32598415,0.19204621,0.31388253,0.30359524,0.29461765,0.2711443,-199.24922,122.05485,-31.124907,37.113503,-11.766886,6.6112285,-15.249892,-3.9852388,-17.602352,-6.609428,-12.881251,-3.8933136,-8.914909,-6.074036,-14.848489,-7.550114,-11.343736,-7.892911,-10.219226,-9.062835,14
194,103.359375,0.08434838,0.021700999,1535.4017088712365,3069.4473585230567,48197,0.28613904,0.29874662,0.33532628,0.24117063,0.4115477,0.35823825,0.23931502,0.24418667,0.2979854,0.42720848,0.26015356,0.287203,-185.82869,120.52047,-28.272532,30.821478,-9.870645,5.3117285,-13.919599,-0.18247487,-18.266031,-4.375364,-14.524359,-1.3439045,-9.878019,-8.312237,-10.14764,-4.613222,-10.8589735,-5.893844,-9.011704,-6.1631656,14
