track_id,zero_crossings
000002,107473
000003,97557
000005,65573
000010,98089
000134,75757
000136,46399
000139,90563
000140,28713
000141,40485
000148,58287
000181,100453
000182,66573
000190,58261
000193,50923
000194,48197
000197,35771
000198,57091
000200,64403
000203,34695
000204,53057
000207,40345
000208,64489
000209,57875
000210,56173
000211,51973
000212,67879
000213,35605
000237,81659
000247,48787
000249,30299
000255,39781
000256,76253
000257,69779
000258,87273
000341,34479
000343,62335
000352,42879
000368,30571
000369,25291
000397,4883
000398,82657
000399,46143
000400,34299
000405,51393
000414,54165
000424,79551
000425,39619
000458,60581
000459,41813
000512,97847
000534,26871
000535,31065
000536,40611
000537,34061
000540,40455
000546,37487
000550,43517
000564,33631
000573,84507
000574,94205
000583,46633
000584,23713
000585,26225
000590,38571
000591,33073
000592,28585
000593,31763
000602,22767
000603,36271
000605,113469
000608,90891
000615,12511
000619,58489
000620,47633
000621,60597
000625,57367
000629,37799
000631,136383
000633,53437
000635,50573
000664,39299
000665,81463
000666,52429
000667,77459
000668,70081
000669,66931
000672,50769
000673,51947
000674,80937
000676,44567
000677,46085
000679,57139
000680,26151
000681,26191
000684,42269
000686,60675
000690,82985
000694,96421
000695,91945
000696,117137
000698,83187
000701,83857
000702,89135
000703,43747
000704,71925
000705,71199
000706,96593
000707,40343
000708,54933
000709,57655
000714,29135
000715,32491
000716,46971
000717,30425
000718,92835
000720,80409
000734,79351
000735,97149
000736,64095
000737,85927
000738,114577
000739,77259
000740,48339
000741,69975
000742,63049
000743,111135
000744,70183
000745,140307
000747,55367
000748,106941
000749,122649
000750,85909
000751,90625
000752,48343
000753,58935
000754,32367
000755,110629
000756,69965
000757,123983
000758,75621
000759,84085
000760,71071
000761,142175
000762,122655
000763,80237
000764,56533
000765,165889
000766,80603
000767,161271
000768,127813
000769,159085
000770,112703
000771,133287
000772,63063
000773,171831
000774,104093
000775,145595
000776,126593
000777,62475
000814,27931
000819,80805
000820,78253
000821,22371
000822,28887
000823,19203
000824,56017
000825,95460
000826,81714
000829,63725
000830,38773
000831,33583
000832,45427
000833,38033
000834,31749
000835,29925
000853,43691
000854,151353
000855,104553
000858,135931
000861,96659
000863,100033
000868,15435
000878,32113
000881,39023
000889,26965
000890,42861
000891,26189
000892,33265
000893,23457
000894,19949
000895,30967
000896,83391
000897,198673
000898,22629
000992,53471
000993,79157
000995,73813
000997,104693
000998,78653
001014,57515
001015,64319
001016,61319
001017,60791
001018,55263
001022,15827
001023,48547
001028,107967
001029,53853
001039,66101
001040,84711
001041,56517
001042,59483
001043,106485
001044,78123
001045,26697
001046,140449
001047,50213
001048,27281
001052,82013
001058,46891
001059,49967
001060,47461
001061,107109
001063,94879
001064,93125
001066,37747
001068,68929
001069,88423
001071,60247
001072,218813
001073,62761
001075,32599
001082,42737
001083,43629
001085,50563
001086,69337
001087,60657
001088,68917
001089,39897
001093,62109
001095,53051
001102,45135
001105,129671
001106,141797
001107,138733
001108,142325
001117,80207
001118,86151
001121,64197
001123,176201
001125,28497
001126,119441
001130,90991
001131,63875
001138,72035
001147,69253
001148,67763
001149,91405
001150,110767
001151,57333
001152,38717
001153,41663
001154,53011
001155,52297
001156,82957
001157,73229
001161,57323
001162,88449
001165,72179
001179,81397
001183,61281
001193,22915
001195,23519
001196,28177
